2024-07-29 11:10:43,047 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value-forwardee           ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 11:49:02,160 WARN  [org.jboss.ejb3.JmxKernelAbstraction] jboss.j2ee:jar=wc_kernel.jar,name=CommonCacheGraphicSourceBean,service=EJB3 is not registered
2024-07-29 11:49:02,160 INFO  [org.jboss.ejb3.EJBContainer] STOPPED EJB: com.geocad.wc.kernel.graphic.GraphicSourceBean ejbName: GraphicSourceBean
2024-07-29 11:49:02,160 WARN  [org.jboss.ejb3.JmxKernelAbstraction] jboss.j2ee:jar=wc_kernel.jar,name=GraphicSourceBean,service=EJB3 is not registered
2024-07-29 11:49:02,160 INFO  [org.jboss.ejb3.EJBContainer] STOPPED EJB: com.geocad.wc.kernel.meta.MetaSourceBean ejbName: MetaSourceBean
2024-07-29 11:49:02,160 WARN  [org.jboss.ejb3.JmxKernelAbstraction] jboss.j2ee:jar=wc_kernel.jar,name=MetaSourceBean,service=EJB3 is not registered
2024-07-29 11:49:02,160 INFO  [org.jboss.ejb3.EJBContainer] STOPPED EJB: com.geocad.wc.kernel.metadata.MetadataBean ejbName: MetadataBean
2024-07-29 11:49:02,160 WARN  [org.jboss.ejb3.JmxKernelAbstraction] jboss.j2ee:jar=wc_kernel.jar,name=MetadataBean,service=EJB3 is not registered
2024-07-29 11:49:02,160 INFO  [org.jboss.ejb3.EJBContainer] STOPPED EJB: com.geocad.wc.kernel.report.ReportSourceBean ejbName: ReportSourceBean
2024-07-29 11:49:02,160 WARN  [org.jboss.ejb3.JmxKernelAbstraction] jboss.j2ee:jar=wc_kernel.jar,name=ReportSourceBean,service=EJB3 is not registered
2024-07-29 11:49:02,160 INFO  [org.jboss.ejb3.EJBContainer] STOPPED EJB: com.geocad.wc.kernel.security.SecuryAdminBean ejbName: SecuryAdminBean
2024-07-29 11:49:02,160 WARN  [org.jboss.ejb3.JmxKernelAbstraction] jboss.j2ee:jar=wc_kernel.jar,name=SecuryAdminBean,service=EJB3 is not registered
2024-07-29 11:49:02,160 INFO  [org.jboss.ejb3.EJBContainer] STOPPED EJB: com.geocad.wc.kernel.semgraph.SemGraphBean ejbName: SemGraphBean
2024-07-29 11:49:02,160 WARN  [org.jboss.ejb3.JmxKernelAbstraction] jboss.j2ee:jar=wc_kernel.jar,name=SemGraphBean,service=EJB3 is not registered
2024-07-29 11:49:02,160 INFO  [org.jboss.ejb3.EJBContainer] STOPPED EJB: com.geocad.wc.kernel.servermanager.ServerManagerBean ejbName: ServerManagerBean
2024-07-29 11:49:02,160 WARN  [org.jboss.ejb3.JmxKernelAbstraction] jboss.j2ee:jar=wc_kernel.jar,name=ServerManagerBean,service=EJB3 is not registered
2024-07-29 11:49:02,160 WARN  [org.jboss.ejb3.JmxKernelAbstraction] jboss.j2ee:jar=wc_kernel.jar,name=SessionInstanceBean,service=EJB3 is not registered
2024-07-29 11:49:02,172 INFO  [org.jboss.ejb3.EJBContainer] STOPPED EJB: com.geocad.wc.kernel.statistic.ModelStatisticBean ejbName: ModelStatisticBean
2024-07-29 11:49:02,172 WARN  [org.jboss.ejb3.JmxKernelAbstraction] jboss.j2ee:jar=wc_kernel.jar,name=ModelStatisticBean,service=EJB3 is not registered
2024-07-29 11:49:02,172 INFO  [org.jboss.ejb3.EJBContainer] STOPPED EJB: com.geocad.wc.kernel.statistic.StatisticBean ejbName: StatisticBean
2024-07-29 11:49:02,172 WARN  [org.jboss.ejb3.JmxKernelAbstraction] jboss.j2ee:jar=wc_kernel.jar,name=StatisticBean,service=EJB3 is not registered
2024-07-29 11:49:02,172 INFO  [org.jboss.ejb3.EJBContainer] STOPPED EJB: com.geocad.wc.kernel.statistic.view.StatisticViewBean ejbName: StatisticViewBean
2024-07-29 11:49:02,176 WARN  [org.jboss.ejb3.JmxKernelAbstraction] jboss.j2ee:jar=wc_kernel.jar,name=StatisticViewBean,service=EJB3 is not registered
2024-07-29 11:49:02,176 INFO  [org.jboss.ejb3.EJBContainer] STOPPED EJB: com.geocad.wc.kernel.userprocedure.ProcedureSourceBean ejbName: ProcedureSourceBean
2024-07-29 11:49:02,176 WARN  [org.jboss.ejb3.JmxKernelAbstraction] jboss.j2ee:jar=wc_kernel.jar,name=ProcedureSourceBean,service=EJB3 is not registered
2024-07-29 11:49:02,176 INFO  [org.jboss.ejb3.EJBContainer] STOPPED EJB: com.geocad.wc.kernel.xfiles.XFilesBean ejbName: XFilesBean
2024-07-29 11:49:02,176 WARN  [org.jboss.ejb3.JmxKernelAbstraction] jboss.j2ee:jar=wc_kernel.jar,name=XFilesBean,service=EJB3 is not registered
2024-07-29 11:49:02,176 INFO  [org.jboss.ejb3.EJBContainer] STOPPED EJB: com.geocad.wc.kernel.certificate.GeeCertificateBean ejbName: GeeCertificateBean
2024-07-29 11:49:02,176 WARN  [org.jboss.ejb3.JmxKernelAbstraction] jboss.j2ee:jar=wc_cert.jar,name=GeeCertificateBean,service=EJB3 is not registered
2024-07-29 11:49:02,176 INFO  [org.jboss.ejb3.EJBContainer] STOPPED EJB: com.geocad.wc.kernel.admin.AdminBean ejbName: AdminBean
2024-07-29 11:49:02,176 WARN  [org.jboss.ejb3.JmxKernelAbstraction] jboss.j2ee:jar=wc_admin.jar,name=AdminBean,service=EJB3 is not registered
2024-07-29 11:49:02,176 INFO  [org.jboss.ejb3.EJBContainer] STOPPED EJB: com.geocad.wc.kernel.admin.ServerManagerBean ejbName: ServerManagerBean
2024-07-29 11:49:02,176 WARN  [org.jboss.ejb3.JmxKernelAbstraction] jboss.j2ee:jar=wc_admin.jar,name=ServerManagerBean,service=EJB3 is not registered
2024-07-29 11:49:02,176 INFO  [org.jboss.resource.connectionmanager.ConnectionFactoryBindingService] Unbound ConnectionManager 'jboss.jca:service=DataSourceBinding,name=datasources/kumi' from JNDI name 'java:datasources/kumi'
2024-07-29 11:49:02,176 INFO  [org.jboss.resource.connectionmanager.ConnectionFactoryBindingService] Unbound ConnectionManager 'jboss.jca:service=DataSourceBinding,name=datasources/spu' from JNDI name 'java:datasources/spu'
2024-07-29 11:49:02,176 INFO  [org.jboss.resource.connectionmanager.ConnectionFactoryBindingService] Unbound ConnectionManager 'jboss.jca:service=DataSourceBinding,name=datasources/geoinvestor' from JNDI name 'java:datasources/geoinvestor'
2024-07-29 11:49:02,176 INFO  [org.jboss.resource.connectionmanager.ConnectionFactoryBindingService] Unbound ConnectionManager 'jboss.jca:service=DataSourceBinding,name=datasources/nso_meta' from JNDI name 'java:datasources/nso_meta'
2024-07-29 11:49:02,176 INFO  [org.jboss.resource.connectionmanager.ConnectionFactoryBindingService] Unbound ConnectionManager 'jboss.jca:service=DataSourceBinding,name=datasources/MetaMetaData' from JNDI name 'java:datasources/MetaMetaData'
2024-07-29 11:49:02,176 INFO  [org.jboss.resource.connectionmanager.ConnectionFactoryBindingService] Unbound ConnectionManager 'jboss.jca:service=DataSourceBinding,name=datasources/MetaDataKO' from JNDI name 'java:datasources/MetaDataKO'
2024-07-29 11:49:02,176 INFO  [org.jboss.resource.connectionmanager.ConnectionFactoryBindingService] Unbound ConnectionManager 'jboss.jca:service=DataSourceBinding,name=datasources/MetaDataEne' from JNDI name 'java:datasources/MetaDataEne'
2024-07-29 11:49:02,176 INFO  [org.jboss.resource.connectionmanager.ConnectionFactoryBindingService] Unbound ConnectionManager 'jboss.jca:service=DataSourceBinding,name=datasources/MetaDataOgd' from JNDI name 'java:datasources/MetaDataOgd'
2024-07-29 11:49:02,176 INFO  [org.jboss.resource.connectionmanager.ConnectionFactoryBindingService] Unbound ConnectionManager 'jboss.jca:service=DataSourceBinding,name=datasources/SPR' from JNDI name 'java:datasources/SPR'
2024-07-29 11:49:02,176 INFO  [org.jboss.resource.connectionmanager.ConnectionFactoryBindingService] Unbound ConnectionManager 'jboss.jca:service=DataSourceBinding,name=datasources/MetaDataZK' from JNDI name 'java:datasources/MetaDataZK'
2024-07-29 11:49:02,176 INFO  [org.jboss.resource.connectionmanager.ConnectionFactoryBindingService] Unbound ConnectionManager 'jboss.jca:service=DataSourceBinding,name=datasources/MetaDataADR' from JNDI name 'java:datasources/MetaDataADR'
2024-07-29 11:49:02,191 INFO  [org.jboss.resource.connectionmanager.ConnectionFactoryBindingService] Unbound ConnectionManager 'jboss.jca:service=DataSourceBinding,name=datasources/gee_meta' from JNDI name 'java:datasources/gee_meta'
2024-07-29 11:49:02,191 INFO  [org.jboss.resource.connectionmanager.ConnectionFactoryBindingService] Unbound ConnectionManager 'jboss.jca:service=DataSourceBinding,name=datasources/ene_meta' from JNDI name 'java:datasources/ene_meta'
2024-07-29 11:49:02,191 INFO  [org.jboss.resource.connectionmanager.ConnectionFactoryBindingService] Unbound ConnectionManager 'jboss.jca:service=DataSourceBinding,name=datasources/ran_meta' from JNDI name 'java:datasources/ran_meta'
2024-07-29 11:49:02,191 INFO  [org.jboss.resource.connectionmanager.ConnectionFactoryBindingService] Unbound ConnectionManager 'jboss.jca:service=DataSourceBinding,name=datasources/demo_meta' from JNDI name 'java:datasources/demo_meta'
2024-07-29 11:49:02,191 INFO  [org.jboss.resource.connectionmanager.ConnectionFactoryBindingService] Unbound ConnectionManager 'jboss.jca:service=ConnectionFactoryBinding,name=JmsXA' from JNDI name 'java:JmsXA'
2024-07-29 11:49:02,191 INFO  [org.jboss.mq.server.jmx.Topic.testTopic] Unbinding JNDI name: topic/testTopic
2024-07-29 11:49:02,191 INFO  [org.jboss.mq.server.jmx.Topic.securedTopic] Unbinding JNDI name: topic/securedTopic
2024-07-29 11:49:02,191 INFO  [org.jboss.mq.server.jmx.Topic.testDurableTopic] Unbinding JNDI name: topic/testDurableTopic
2024-07-29 11:49:02,191 INFO  [org.jboss.mq.server.jmx.Queue.testQueue] Unbinding JNDI name: queue/testQueue
2024-07-29 11:49:02,191 INFO  [org.jboss.mq.server.jmx.Queue.A] Unbinding JNDI name: queue/A
